Official division,Name type,Administrative area name,Administrative level,Description,Comment,Part of,MAEASaM ID,Geometry,resourceid
,Primary name,Garu Tempane,Level 2,,,,ADMIN-GHA-000000027,,1c6e9e67-ddfc-43ce-9116-eae760ef963d
,Primary name,Bunkpurugu Yonyo,Level 2,,,,ADMIN-GHA-000000026,,6542ef60-4b8b-45db-b64c-46e518084738
,Primary name,Kasena Nankana East,Level 2,,,,ADMIN-GHA-000000025,,0d06d297-5ee7-4e8c-82e1-1db453d52f7f
,Primary name,Sissala East,Level 2,,,,ADMIN-GHA-000000024,,97977e4d-2862-4ca0-8b28-c9a4ce1f74c4
,Primary name,Sawla/Tuna/Kalba,Level 2,,,,ADMIN-GHA-000000023,,07125c96-5b9f-4984-96fa-7f500d1b5029
,Primary name,Wa West,Level 2,,,,ADMIN-GHA-000000022,,3c778404-b3ee-49a3-a3f6-325eb6f05e73
,Primary name,Kasena Nankana West,Level 2,,,,ADMIN-GHA-000000021,,00195c44-a2f7-4f16-b986-89fee1462824
,Primary name,Bongo,Level 2,,,,ADMIN-GHA-000000020,,022dceed-b9fa-4d48-9861-b2f5feeb16a1
,Primary name,Bolgatanga Municipal,Level 2,,,,ADMIN-GHA-000000019,,1fa97cd5-1289-4932-a65e-bd653404af64
,Primary name,Lambussie Karni,Level 2,,,,ADMIN-GHA-000000018,,73577aa5-28b3-4c91-bcee-993094982a72
,Primary name,Sissala  West,Level 2,,,,ADMIN-GHA-000000017,,53d6d764-a4bf-4567-b318-3770fa729973
,Primary name,Jirapa,Level 2,,,,ADMIN-GHA-000000016,,7cc42886-c904-410f-8b6b-9a27e85e4f2e
,Primary name,Wa Municipal,Level 2,,,,ADMIN-GHA-000000015,,20c0d45b-8931-4647-80b8-b2509ae656ee
,Primary name,Mampong Municipal,Level 2,,,,ADMIN-GHA-000000064,,4fc73a8e-92c6-45d4-9cf0-fa63e91bc233
,Primary name,Bosomtwe /Atwima / Kwanwoma,Level 2,,,,ADMIN-GHA-000000063,,5a4065bf-66cc-4c2e-88e1-bee9508e1bca
,Primary name,Bekwai Municipal,Level 2,,,,ADMIN-GHA-000000062,,185508f4-0c30-41ea-9bbd-42048ea81031
,Primary name,Ahafo Ano South,Level 2,,,,ADMIN-GHA-000000061,,bbb7ce9e-ded3-4803-b22f-06a22082b446
,Primary name,Bosome Freho,Level 2,,,,ADMIN-GHA-000000060,,d41c8fa9-4c9a-43c8-be4d-8df2e3b0a6a0
,Primary name,Adansi North,Level 2,,,,ADMIN-GHA-000000059,,12a8b6c9-a8a7-498a-9767-13ef6b0e9538
,Primary name,Adansi South,Level 2,,,,ADMIN-GHA-000000058,,dc6dad43-3483-40ab-85f5-e4be34b1648e
,Primary name,Atwima Mponua,Level 2,,,,ADMIN-GHA-000000057,,5014a589-ca93-44c2-b91d-11754594b43d
,Primary name,Atwima Nwabiagya,Level 2,,,,ADMIN-GHA-000000056,,8f0bcb53-ea8d-4d18-80cb-2901708a6418
,Primary name,Ejura Sekye Dumase,Level 2,,,,ADMIN-GHA-000000055,,d7422b3e-517c-4607-90f7-9e540f8d2722
,Primary name,Kwabre,Level 2,,,,ADMIN-GHA-000000054,,77c6a219-5d34-4420-8709-5887a5d7db9a
,Primary name,Obuasi Municipal,Level 2,,,,ADMIN-GHA-000000053,,9cb18b01-17d6-4052-b143-8c377055a94b
,Primary name,Offinso Municipal,Level 2,,,,ADMIN-GHA-000000052,,6b2fed67-867e-4c36-be5b-676609614495
,Primary name,Offinso North,Level 2,,,,ADMIN-GHA-000000051,,ac5c653a-ec9a-4e20-93f2-d816ba1f7d11
,Primary name,Sekyere Central,Level 2,,,,ADMIN-GHA-000000050,,0fe3fd67-6346-484b-a26c-6d85359842c7
,Primary name,Sekyere East,Level 2,,,,ADMIN-GHA-000000049,,5ac91eb3-3073-4bbd-853c-4054dbfa630b
,Primary name,Afigya Sekyere,Level 2,,,,ADMIN-GHA-000000048,,ec1d35cb-5862-480a-a136-75d9c4e87598
,Primary name,Atwima Kwanwoma,Level 2,,,,ADMIN-GHA-000000047,,bd68f397-b599-4a2a-a9d4-911da995098f
,Primary name,Afigya Kwabre,Level 2,,,,ADMIN-GHA-000000046,,a46ae77c-db44-46e1-8290-225c024fe5c9
,Primary name,Nkwanta South,Level 2,,,,ADMIN-GHA-000000045,,d699d50c-ba53-4190-82f9-536ef47a51fa
,Primary name,Krachi East,Level 2,,,,ADMIN-GHA-000000044,,465e08a3-4430-493e-855e-41b86169e3ed
,Primary name,Jasikan,Level 2,,,,ADMIN-GHA-000000043,,1a44380a-9d08-4621-9ffe-20853e2fa8a6
,Primary name,South Tongu,Level 2,,,,ADMIN-GHA-000000042,,ef160725-90aa-4dd8-9ec7-bda9dd806dc9
,Primary name,Kadjebi,Level 2,,,,ADMIN-GHA-000000041,,a08b75e9-35c1-4337-a2c7-5fe7db227070
,Primary name,Keta Municipal,Level 2,,,,ADMIN-GHA-000000040,,210ee043-8c85-410f-a657-b43a55550870
,Primary name,Yilo Krobo,Level 2,,,,ADMIN-GHA-000000089,,1a6d6ec2-709a-453c-8d76-c2f207e6536a
,Primary name,Akwapem North,Level 2,,,,ADMIN-GHA-000000088,,fc5290a0-8bdf-4406-ab91-9508bd6e8d1e
,Primary name,Birim South,Level 2,,,,ADMIN-GHA-000000087,,ed633edc-0b9b-4489-a2a0-753d4477ef2c
,Primary name,Upper Manya,Level 2,,,,ADMIN-GHA-000000086,,778ecea3-8b13-4768-9939-0d7560adc4de
,Primary name,Birim Municipal,Level 2,,,,ADMIN-GHA-000000085,,566f592e-7ccd-4c4b-8758-a04f5f2c9ab5
,Primary name,Kwahu South,Level 2,,,,ADMIN-GHA-000000084,,1f9caa0e-94e2-47b4-8d35-2c0c8b5b4a6a
,Primary name,Akyem Mansa,Level 2,,,,ADMIN-GHA-000000083,,48bab84b-91a8-4993-ba7c-b500fd7705af
,Primary name,Sekondi Takoradi,Level 2,,,,ADMIN-GHA-000000082,,e970c836-4e6e-48e2-9303-489d6c709766
,Primary name,Sefwi Akontombra,Level 2,,,,ADMIN-GHA-000000081,,12d0b6af-4435-4a06-af63-b91304504449
,Primary name,Tarkwa Nsuaem,Level 2,,,,ADMIN-GHA-000000080,,6442fa2c-7836-4255-af67-49c7ced491ab
,Primary name,Nzema East,Level 2,,,,ADMIN-GHA-000000079,,71c3ebcf-50d0-4ae8-a9ca-5ecbc03d9fc5
,Primary name,Ahanta West,Level 2,,,,ADMIN-GHA-000000078,,1afc53cb-a9a4-46c5-84a2-5705ba68ae7c
,Primary name,Prestea / Huni Valley,Level 2,,,,ADMIN-GHA-000000077,,fcb4ed67-5140-40e1-ae1b-2d31d4dba1ef
,Primary name,Ellembelle,Level 2,,,,ADMIN-GHA-000000076,,fa8e54d4-1354-4ec5-b875-f50d04f475bc
,Primary name,Jomoro,Level 2,,,,ADMIN-GHA-000000075,,4f14d3b9-fee2-4a5a-9936-04661ead4c18
,Primary name,Abura / Asebu / Kwamankese,Level 2,,,,ADMIN-GHA-000000074,,25221f95-b92b-4bb6-8f07-4b9b25ff7e66
,Primary name,Gomoa East,Level 2,,,,ADMIN-GHA-000000073,,28476669-14a3-45ae-b62f-a1c6dadf7ccd
,Primary name,Effutu,Level 2,,,,ADMIN-GHA-000000072,,e8f2028a-0ee1-44dd-8f6a-617453660397
,Primary name,Asikuma / Odoben / Brakwa,Level 2,,,,ADMIN-GHA-000000071,,e6e0c0dc-d079-4e82-8205-b5b5e228f8a1
,Primary name,Assin South,Level 2,,,,ADMIN-GHA-000000070,,7a4c3417-49e6-4346-b6c4-c33ce42b4467
,Primary name,Assin North,Level 2,,,,ADMIN-GHA-000000069,,5b90cff6-5944-4f89-9250-4eeb200ad246
,Primary name,Agona East,Level 2,,,,ADMIN-GHA-000000068,,7e535d0a-d010-450a-b640-d9c8befbb2d9
,Primary name,Agona West,Level 2,,,,ADMIN-GHA-000000067,,b5a9fdb2-ab6b-4935-a441-efb18eb71e1e
,Primary name,Gomoa West,Level 2,,,,ADMIN-GHA-000000066,,6d06d717-c4f3-424d-a167-6dfdc4a2334c
,Primary name,Ajumako-Enyan-Esiam,Level 2,,,,ADMIN-GHA-000000065,,06fa248f-369f-4ee6-bf43-03fa39cc50c2
,Primary name,Gonja Central,Level 2,,,,ADMIN-GHA-000000114,,6415d5f4-57c5-4fba-8cb8-04b1d2b34abf
,Primary name,Biakoye,Level 2,,,,ADMIN-GHA-000000113,,0b415a88-107e-440f-a339-38071bcbb742
,Primary name,Nkwanta North,Level 2,,,,ADMIN-GHA-000000112,,ca1da952-e4fc-4764-9ad7-675b9420ea29
,Primary name,Kpandai,Level 2,,,,ADMIN-GHA-000000111,,d4e5db1a-28a5-4b56-badc-55166b55f5c4
,Primary name,Atebubu Amantin,Level 2,,,,ADMIN-GHA-000000110,,8063a6fc-9d02-415d-bc4b-880c8171041f
,Primary name,Kintampo North,Level 2,,,,ADMIN-GHA-000000109,,07c45e47-04f4-442d-a0ae-f4bb919e164b
,Primary name,Lower Manya,Level 2,,,,ADMIN-GHA-000000108,,5efdc09d-58cc-47ee-b96c-ac6309d77728
,Primary name,Bole,Level 2,,,,ADMIN-GHA-000000107,,a2a7b862-15d7-4113-ac8e-a19eb99387e3
,Primary name,Nkoranza South,Level 2,,,,ADMIN-GHA-000000106,,76e358e4-308d-478a-a32d-0d219c932bb3
,Primary name,Asunafo South,Level 2,,,,ADMIN-GHA-000000105,,4d92d184-e32a-4231-84b2-b119aee461bd
,Primary name,Sefwi-Wiawso,Level 2,,,,ADMIN-GHA-000000104,,753a37d7-a04f-44af-ac0b-b015faf51f8a
,Primary name,Komenda Edna Eguafo / Abirem,Level 2,,,,ADMIN-GHA-000000103,,25f869d2-126e-41e4-beda-e2a114ab9e24
,Primary name,Cape Coast Metro,Level 2,,,,ADMIN-GHA-000000102,,22a1afa0-43d6-4365-952a-b9c9b1d0c286
,Primary name,Upper Denkyira West,Level 2,,,,ADMIN-GHA-000000101,,9d40de46-37ae-4a34-a335-9dcd65fb9a01
,Primary name,Amansie West,Level 2,,,,ADMIN-GHA-000000100,,e3aa3e99-c5a4-4281-9112-df396fb2f398
,Primary name,Amansie Central,Level 2,,,,ADMIN-GHA-000000099,,254bf4e9-2a7d-4a28-8cc0-d85aa63fee38
,Primary name,Upper Denkyira East,Level 2,,,,ADMIN-GHA-000000098,,5d510862-7be3-4c77-80bd-5620d8327a9c
,Primary name,Sefwi Bibiani-Anhwiaso Bekwai,Level 2,,,,ADMIN-GHA-000000097,,76068b42-b37b-436d-a096-c94d182f85c7
,Primary name,Kwahu West,Level 2,,,,ADMIN-GHA-000000096,,c25e10b1-404c-4a6b-8d86-e4fc4133c7b4
,Primary name,Kwahu East,Level 2,,,,ADMIN-GHA-000000095,,94ed1798-0422-4597-b380-690b3ceeef48
,Primary name,Asuogyaman,Level 2,,,,ADMIN-GHA-000000094,,c74436db-a6a2-460a-9d31-b95974ca592f
,Primary name,Birim North,Level 2,,,,ADMIN-GHA-000000093,,7eb887b1-b3c6-425d-8ddf-de6adbfe5fff
,Primary name,Fanteakwa,Level 2,,,,ADMIN-GHA-000000092,,412a07ce-84d3-41e6-8bfe-ba9129e204eb
,Primary name,New Juaben Municipal,Level 2,,,,ADMIN-GHA-000000091,,f18120e2-6213-44bf-bb51-ccb113cd7973
,Primary name,Atiwa,Level 2,,,,ADMIN-GHA-000000090,,451bc00c-0a9a-4d0e-b10f-25aa8a838cdd
